Name,Base Color,Tint,Color Type,Added Color,Parent Color
YELLOW,YELLOW,NORMAL,MATTE,,
TURQUOISE,TURQUOISE,NORMAL,MATTE,,
SILVER,SILVER,NORMAL,SHINY,,
SHINY STEEL,STEEL,NORMAL,SHINY,,
SHINY RED,RED,NORMAL,SHINY,,
SHINY PURPLE,PURPLE,NORMAL,SHINY,,
SHINY ORANGE,ORANGE,NORMAL,SHINY,,
SHINY LIGHT BLUE,BLUE,LIGHT,SHINY,,
SHINY GREEN,GREEN,NORMAL,SHINY,,
SHINY BLUE,BLUE,NORMAL,SHINY,,
RED,RED,NORMAL,MATTE,,
RAINBOW,RAINBOW,NORMAL,MATTE,,
PURPLE RED,RED,NORMAL,MATTE,PURPLE,
PURPLE,PURPLE,NORMAL,MATTE,,
PINK,PINK,NORMAL,MATTE,,
ORANGE,ORANGE,NORMAL,MATTE,,
NEW BRONZE,BRONZE,NORMAL,SHINY,,
NATURAL,NATURAL,NORMAL,MATTE,,
LIGHT BROWN,BROWN,LIGHT,MATTE,,
GREEN,GREEN,NORMAL,MATTE,,
GOLD,GOLD,NORMAL,SHINY,,
DEEP RED,RED,DARK,MATTE,,
DARK GREEN,GREEN,DARK,MATTE,,
DARK COFFEE BROWN,BROWN,DARK,MATTE,COFFEE,
DARK BLUE STEEL,STEEL,DARK,MATTE,BLUE,
COPPER,COPPER,NORMAL,SHINY,,
COLOR MIX,COLOR MIX,NORMAL,MATTE,,
COFFEE BROWN,BROWN,NORMAL,MATTE,COFFEE,
BROWN,BROWN,NORMAL,MATTE,,
BRASS,BRASS,NORMAL,SHINY,,
BLUE,BLUE,NORMAL,MATTE,,
BLACKENED STAINLESS,STAINLESS STEEL,NORMAL,MATTE,BLACK,
BLACK SILVER,SILVER,NORMAL,MATTE,BLACK,
BLACK,BLACK,NORMAL,MATTE,,
BEIGE,BEIGE,NORMAL,MATTE,,
ANTIQUE BRONZE,BRONZE,NORMAL,MATTE,,
