Domain Value,Domain Name,Domain Refloc,Sort Order,Parent Domain Value,Description,Domain Type,Active
KEYCHAIN,ACCESSORY_TYPE,ACCESSORIES,2,CREATED_ITEM_TYPE ACCESSORY,,LIST_OF_VALUES,Y
HAIRCLIP,ACCESSORY_TYPE,ACCESSORIES,3,CREATED_ITEM_TYPE ACCESSORY,,LIST_OF_VALUES,Y
BROOCH,ACCESSORY_TYPE,ACCESSORIES,4,CREATED_ITEM_TYPE ACCESSORY,,LIST_OF_VALUES,Y
BOOKMARK,ACCESSORY_TYPE,ACCESSORIES,5,CREATED_ITEM_TYPE ACCESSORY,,LIST_OF_VALUES,Y
OTHER,ACCESSORY_TYPE,ACCESSORIES,1,CREATED_ITEM_TYPE ACCESSORY,,LIST_OF_VALUES,Y
ONLINE,ADDRESS_TYPE,LOCATION_ADDRESSES,3,TYPE ADDRESS,,LIST_OF_VALUES,Y
ESTABLISHMENT,ADDRESS_TYPE,LOCATION_ADDRESSES,2,TYPE ADDRESS,,LIST_OF_VALUES,Y
HOME,ADDRESS_TYPE,LOCATION_ADDRESSES,4,TYPE ADDRESS,,LIST_OF_VALUES,Y
OTHER,ADDRESS_TYPE,LOCATION_ADDRESSES,5,TYPE ADDRESS,,LIST_OF_VALUES,Y
STORAGE,ADDRESS_TYPE,LOCATION_ADDRESSES,1,TYPE ADDRESS,,LIST_OF_VALUES,Y
EARRING_WIRE_PAIR,ATTACHMENT_TYPE,ATTACHMENTS,6,CRAFTED_INGREDIENT_TYPE ATTACHMENT,,LIST_OF_VALUES,Y
BEADING_PIN_VERTICAL_ROUND,ATTACHMENT_TYPE,ATTACHMENTS,9,CRAFTED_INGREDIENT_TYPE ATTACHMENT,,LIST_OF_VALUES,Y
HAIRCLIP_SMALL,ATTACHMENT_TYPE,ATTACHMENTS,4,CRAFTED_INGREDIENT_TYPE ATTACHMENT,,LIST_OF_VALUES,Y
BROOCH_SMALL,ATTACHMENT_TYPE,ATTACHMENTS,8,CRAFTED_INGREDIENT_TYPE ATTACHMENT,,LIST_OF_VALUES,Y
CLIP_GENERIC,ATTACHMENT_TYPE,ATTACHMENTS,3,CRAFTED_INGREDIENT_TYPE ATTACHMENT,,LIST_OF_VALUES,Y
EARRING_CLASP_PAIR,ATTACHMENT_TYPE,ATTACHMENTS,7,CRAFTED_INGREDIENT_TYPE ATTACHMENT,,LIST_OF_VALUES,Y
EARRING_PAIR,ATTACHMENT_TYPE,ATTACHMENTS,5,CRAFTED_INGREDIENT_TYPE ATTACHMENT,,LIST_OF_VALUES,Y
KEYRING_SINGLE_FLAT,ATTACHMENT_TYPE,ATTACHMENTS,2,CRAFTED_INGREDIENT_TYPE ATTACHMENT,,LIST_OF_VALUES,Y
KEYRING_SINGLE,ATTACHMENT_TYPE,ATTACHMENTS,1,CRAFTED_INGREDIENT_TYPE ATTACHMENT,,LIST_OF_VALUES,Y
ITEM,AVAILABILITY,DOMAINS,1,,,LIST_OF_VALUES,Y
BEAD_ROUND,BEAD_TYPE,BEADS,1,CRAFTED_INGREDIENT_TYPE BEAD,,LIST_OF_VALUES,Y
BEAD_SQUARE,BEAD_TYPE,BEADS,2,CRAFTED_INGREDIENT_TYPE BEAD,,LIST_OF_VALUES,Y
FALSE,BOOLEAN_LABEL,MULTIPLE,2,LABEL BOOLEAN,,LIST_OF_VALUES,Y
