Abbreviation,Base Material,Processing,Processing Material,Allergens Excluded,Base Materials Included,Parent Material
LE,LEATHER,,,,ANIMAL HIDE,HIDE (ANIMAL HIDE)
HIDE,ANIMAL HIDE,,,,,HIDE (ANIMAL HIDE)
IR,IRON,,,,,IR (IRON)
CB,CARBON,,,,,CB (CARBON)
GEM,GEMSTONE,,,,STONE,STO (STONE)
OTH-STO,OTHER STONE,,,,STONE,STO (STONE)
STO,STONE,,,,STONE,STO (STONE)
TI,TITANIUM,,,,,TI (TITANIUM)
PL,PLASTIC,,,,,PL (PLASTIC)
FA-SU,FAUX SUEDE,,,,OTHER,OTH (OTHER)
FA-LE,FAUX LEATHER,,,,OTHER,OTH (OTHER)
OTH-MET,OTHER METAL,,,,OTHER,OTH (OTHER)
OTH,OTHER,,,,,OTH (OTHER)
SU-SST,SURGICAL STAINLESS STEEL,,,,,SST (STAINLESS STEEL)
PL-SST-TI,STAINLESS STEEL,PLATED,TITANIUM,,TITANIUM,SST (STAINLESS STEEL)
PL-SST,STAINLESS STEEL,PLATED,OTHER,,,SST (STAINLESS STEEL)
SST-BL,STAINLESS STEEL,BLACKENED,,,,SST (STAINLESS STEEL)
EA,ALUMINIUM,ENAMELLED,PLASTIC,,PLASTIC,BA (BASE ALUMINIUM)
AA,ALUMINIUM,ANODIZED,,,,BA (BASE ALUMINIUM)
BA,BASE ALUMINIUM,,,,ALUMINIUM,BA (BASE ALUMINIUM)
BRO,BRONZE,,,,"COPPER, TIN",BRO (BRONZE)
ST,STEEL,,,,"IRON, CARBON",ST (STEEL)
SST,STAINLESS STEEL,,,,STEEL,ST (STEEL)
SS,STERLING SILVER,,,,COPPER,SI (PURE SILVER)
SI,PURE SILVER,,,,SILVER,SI (PURE SILVER)
GO-PL-CO,COPPER,PLATED,GOLD,,GOLD,CO (COPPER)
SI-PL-CO,COPPER,PLATED,SILVER,,SILVER,CO (COPPER)
SI-FI-CO,COPPER,FILLED,SILVER,,SILVER,CO (COPPER)
CO,COPPER,,,,COPPER,CO (COPPER)
ZI-ALL,ZINC ALLOY,,,"LEAD, NICKEL, CADMIUM",OTHER,ZI (ZINC)
ZI,ZINC,,,,ZINC,ZI (ZINC)
BRA,BRASS,,,,"COPPER, ZINC",BRA (BRASS)
SU,SUEDE,,,,ANIMAL HIDE,LE (LEATHER)
WOO,WOOD,,,,WOOD,WOO (WOOD)
GLA,GLASS,,,,GLASS,GLA (GLASS)
EPDM,EPDM,,,,RUBBER,RUB (RUBBER)
RUB,RUBBER,,,,RUBBER,RUB (RUBBER)
